Date,Product,Region,Quantity,Price,Sales
2024-01-01,Headphones,North,7,28285,197995
2024-01-02,Camera,West,5,27900,139500
2024-01-03,Tablet,North,1,2605,2605
2024-01-04,Camera,North,7,6622,46354
2024-01-05,Camera,South,7,7767,54369
2024-01-06,Mobile,North,9,28139,253251
2024-01-07,Tablet,East,3,12613,37839
2024-01-08,Tablet,East,9,11589,104301
2024-01-09,Tablet,West,1,14918,14918
2024-01-10,Camera,North,1,21119,21119
2024-01-11,Headphones,West,4,28446,113784
2024-01-12,Tablet,East,9,14046,126414
2024-01-13,Camera,North,6,25818,154908
2024-01-14,Mobile,North,3,36358,109074
2024-01-15,Headphones,West,1,5324,5324
2024-01-16,Mobile,East,4,11787,47148
2024-01-17,Headphones,North,9,10111,90999
2024-01-18,Camera,West,3,39110,117330
2024-01-19,Laptop,East,9,17389,156501
2024-01-20,Headphones,West,7,42427,296989
2024-01-21,Mobile,South,4,15043,60172
2024-01-22,Camera,North,3,29746,89238
2024-01-23,Headphones,South,5,23350,116750
2024-01-24,Laptop,East,5,42605,213025
2024-01-25,Laptop,South,3,1117,3351
2024-01-26,Tablet,South,9,47685,429165
2024-01-27,Tablet,East,4,19935,79740
2024-01-28,Mobile,West,5,48077,240385
2024-01-29,Headphones,South,4,14234,56936
2024-01-30,Headphones,West,5,39328,196640
2024-01-31,Tablet,South,7,1846,12922
2024-02-01,Headphones,West,9,11954,107586
2024-02-02,Headphones,East,7,14703,102921
2024-02-03,Laptop,South,5,49153,245765
2024-02-04,Tablet,East,7,47514,332598
2024-02-05,Camera,South,5,23700,118500
2024-02-06,Tablet,East,3,33043,99129
2024-02-07,Camera,East,7,7469,52283
2024-02-08,Laptop,South,2,31105,62210
2024-02-09,Mobile,South,9,43101,387909
2024-02-10,Headphones,South,1,27386,27386
2024-02-11,Laptop,North,6,46587,279522
2024-02-12,Headphones,West,7,37976,265832
2024-02-13,Mobile,North,8,40051,320408
2024-02-14,Mobile,North,9,3048,27432
2024-02-15,Laptop,East,2,40001,80002
2024-02-16,Mobile,South,2,13941,27882
2024-02-17,Camera,West,5,46375,231875
2024-02-18,Mobile,East,5,43533,217665
2024-02-19,Headphones,North,6,2828,16968
2024-02-20,Headphones,South,3,2917,8751
2024-02-21,Headphones,East,8,21618,172944
2024-02-22,Headphones,South,1,33254,33254
2024-02-23,Camera,East,6,40756,244536
2024-02-24,Tablet,South,4,48362,193448
2024-02-25,Laptop,North,1,21128,21128
2024-02-26,Headphones,West,7,46745,327215
2024-02-27,Mobile,North,9,1009,9081
2024-02-28,Headphones,West,4,17644,70576
2024-02-29,Mobile,South,4,23422,93688
2024-03-01,Mobile,East,6,10865,65190
2024-03-02,Headphones,North,3,3219,9657
2024-03-03,Camera,West,6,40809,244854
2024-03-04,Mobile,North,7,6287,44009
2024-03-05,Mobile,West,3,35387,106161
2024-03-06,Headphones,North,7,9512,66584
2024-03-07,Mobile,West,3,2342,7026
2024-03-08,Mobile,West,2,44336,88672
2024-03-09,Headphones,South,4,20216,80864
2024-03-10,Headphones,West,8,28534,228272
2024-03-11,Laptop,South,9,15231,137079
2024-03-12,Camera,West,7,33293,233051
2024-03-13,Camera,East,1,27614,27614
2024-03-14,Mobile,East,3,37258,111774
2024-03-15,Camera,East,9,29253,263277
2024-03-16,Mobile,West,1,43078,43078
2024-03-17,Laptop,South,9,41752,375768
2024-03-18,Headphones,South,8,18988,151904
2024-03-19,Headphones,West,1,32037,32037
2024-03-20,Headphones,East,6,13219,79314
2024-03-21,Camera,East,5,1235,6175
2024-03-22,Laptop,South,6,43929,263574
2024-03-23,Camera,East,5,2908,14540
2024-03-24,Camera,North,6,9567,57402
2024-03-25,Laptop,South,5,37298,186490
2024-03-26,Laptop,East,5,6256,31280
2024-03-27,Laptop,South,4,20019,80076
2024-03-28,Laptop,North,3,9162,27486
2024-03-29,Headphones,South,3,6415,19245
2024-03-30,Tablet,South,4,37159,148636
2024-03-31,Tablet,South,9,44925,404325
2024-04-01,Laptop,South,2,6951,13902
2024-04-02,Tablet,North,9,22852,205668
2024-04-03,Tablet,West,1,9007,9007
2024-04-04,Laptop,South,1,42832,42832
2024-04-05,Tablet,South,5,31523,157615
2024-04-06,Camera,East,6,24325,145950
2024-04-07,Mobile,South,6,22204,133224
2024-04-08,Mobile,East,3,16524,49572
2024-04-09,Laptop,West,7,20282,141974
2024-04-10,Headphones,North,9,24930,224370
2024-04-11,Laptop,North,8,1077,8616
2024-04-12,Headphones,West,6,41345,248070
2024-04-13,Mobile,North,8,21611,172888
2024-04-14,Laptop,West,5,17984,89920
2024-04-15,Camera,West,8,15060,120480
2024-04-16,Tablet,West,4,18449,73796
2024-04-17,Headphones,North,8,19520,156160
2024-04-18,Tablet,East,2,44303,88606
2024-04-19,Tablet,West,5,10510,52550
2024-04-20,Laptop,South,9,30287,272583
2024-04-21,Tablet,North,4,29173,116692
2024-04-22,Camera,West,6,40711,244266
2024-04-23,Tablet,West,1,12954,12954
2024-04-24,Laptop,South,9,8804,79236
2024-04-25,Camera,East,1,7565,7565
2024-04-26,Mobile,East,5,6984,34920
2024-04-27,Tablet,East,4,22526,90104
2024-04-28,Laptop,West,3,38438,115314
2024-04-29,Mobile,West,6,19574,117444
2024-04-30,Mobile,West,2,10184,20368
2024-05-01,Headphones,North,3,20096,60288
2024-05-02,Camera,South,5,3192,15960
2024-05-03,Tablet,West,9,35016,315144
2024-05-04,Laptop,South,2,12246,24492
2024-05-05,Headphones,South,8,46558,372464
2024-05-06,Camera,East,2,19381,38762
2024-05-07,Headphones,North,5,37455,187275
2024-05-08,Camera,West,7,27727,194089
2024-05-09,Camera,East,8,5018,40144
2024-05-10,Tablet,East,1,12302,12302
2024-05-11,Camera,West,6,2970,17820
2024-05-12,Headphones,South,1,42157,42157
2024-05-13,Camera,East,2,28202,56404
2024-05-14,Tablet,South,1,32110,32110
2024-05-15,Tablet,North,5,18586,92930
2024-05-16,Headphones,South,9,25519,229671
2024-05-17,Mobile,North,6,32273,193638
2024-05-18,Mobile,South,1,22951,22951
2024-05-19,Camera,East,1,16374,16374
2024-05-20,Laptop,East,2,6788,13576
2024-05-21,Camera,North,9,6408,57672
2024-05-22,Headphones,West,3,26053,78159
2024-05-23,Headphones,North,1,10446,10446
2024-05-24,Headphones,North,5,1922,9610
2024-05-25,Headphones,South,7,34187,239309
2024-05-26,Headphones,South,6,11789,70734
2024-05-27,Tablet,North,1,33184,33184
2024-05-28,Mobile,East,5,2120,10600
2024-05-29,Headphones,South,5,45028,225140
2024-05-30,Laptop,West,6,33154,198924
2024-05-31,Laptop,South,3,18334,55002
2024-06-01,Laptop,South,5,3336,16680
2024-06-02,Laptop,West,7,39141,273987
2024-06-03,Tablet,North,5,3243,16215
2024-06-04,Laptop,West,5,20029,100145
2024-06-05,Headphones,North,5,33265,166325
2024-06-06,Camera,North,3,38380,115140
2024-06-07,Laptop,North,1,47714,47714
2024-06-08,Tablet,West,5,44872,224360
2024-06-09,Tablet,North,9,47197,424773
2024-06-10,Laptop,East,1,24710,24710
2024-06-11,Camera,West,3,30486,91458
2024-06-12,Laptop,East,4,7371,29484
2024-06-13,Tablet,North,1,7359,7359
2024-06-14,Mobile,South,1,41631,41631
2024-06-15,Headphones,North,8,36996,295968
2024-06-16,Tablet,East,2,21103,42206
2024-06-17,Laptop,East,8,15382,123056
2024-06-18,Headphones,West,7,19755,138285
2024-06-19,Laptop,South,2,36659,73318
2024-06-20,Laptop,West,6,4756,28536
2024-06-21,Mobile,East,6,21609,129654
2024-06-22,Headphones,North,3,49538,148614
2024-06-23,Headphones,South,2,17478,34956
2024-06-24,Mobile,North,1,36442,36442
2024-06-25,Tablet,North,6,40666,243996
2024-06-26,Laptop,South,5,11147,55735
2024-06-27,Camera,West,9,34561,311049
2024-06-28,Laptop,North,1,35884,35884
2024-06-29,Laptop,East,7,6779,47453
2024-06-30,Tablet,North,5,13298,66490
2024-07-01,Laptop,South,5,15153,75765
2024-07-02,Mobile,South,2,44879,89758
2024-07-03,Mobile,South,3,11789,35367
2024-07-04,Headphones,West,7,45165,316155
2024-07-05,Camera,North,6,13999,83994
2024-07-06,Laptop,West,2,1814,3628
2024-07-07,Laptop,West,6,11541,69246
2024-07-08,Tablet,South,2,25938,51876
2024-07-09,Mobile,South,2,3443,6886
2024-07-10,Camera,West,2,11457,22914
2024-07-11,Headphones,North,3,11380,34140
2024-07-12,Mobile,East,2,8783,17566
2024-07-13,Headphones,West,4,45241,180964
2024-07-14,Tablet,North,9,18368,165312
2024-07-15,Tablet,South,6,16328,97968
2024-07-16,Laptop,South,1,27215,27215
2024-07-17,Camera,North,8,34595,276760
2024-07-18,Headphones,East,7,28306,198142
2024-07-19,Mobile,South,3,20915,62745
2024-07-20,Tablet,South,1,40915,40915
2024-07-21,Laptop,South,5,38219,191095
2024-07-22,Laptop,North,4,16343,65372
2024-07-23,Headphones,West,8,47403,379224
2024-07-24,Tablet,South,1,39727,39727
2024-07-25,Camera,West,1,1126,1126
2024-07-26,Tablet,East,4,28632,114528
2024-07-27,Headphones,South,8,42563,340504
2024-07-28,Headphones,South,5,45409,227045
2024-07-29,Tablet,East,2,21530,43060
2024-07-30,Headphones,South,6,40964,245784
2024-07-31,Tablet,West,5,45327,226635
2024-08-01,Mobile,North,2,4368,8736
2024-08-02,Tablet,West,3,4797,14391
2024-08-03,Tablet,North,9,48882,439938
2024-08-04,Headphones,North,7,14718,103026
2024-08-05,Headphones,West,7,35560,248920
2024-08-06,Laptop,West,6,12053,72318
2024-08-07,Laptop,West,8,23116,184928
2024-08-08,Mobile,West,4,37244,148976
2024-08-09,Laptop,East,8,37185,297480
2024-08-10,Tablet,South,4,2645,10580
2024-08-11,Headphones,North,8,48523,388184
2024-08-12,Laptop,West,9,20256,182304
2024-08-13,Laptop,West,3,36840,110520
2024-08-14,Mobile,West,3,35622,106866
2024-08-15,Mobile,East,2,38430,76860
2024-08-16,Tablet,West,3,40282,120846
2024-08-17,Headphones,West,3,3708,11124
2024-08-18,Mobile,West,5,12694,63470
2024-08-19,Laptop,South,5,10524,52620
2024-08-20,Headphones,East,2,32880,65760
2024-08-21,Headphones,West,6,40224,241344
2024-08-22,Laptop,North,5,37980,189900
2024-08-23,Mobile,North,6,33409,200454
2024-08-24,Laptop,North,1,14224,14224
2024-08-25,Headphones,East,5,41738,208690
2024-08-26,Camera,East,9,26150,235350
2024-08-27,Camera,North,2,35393,70786
2024-08-28,Tablet,West,1,44082,44082
2024-08-29,Laptop,East,9,8973,80757
2024-08-30,Laptop,North,9,9577,86193
2024-08-31,Tablet,North,9,9070,81630
2024-09-01,Tablet,West,6,9666,57996
2024-09-02,Tablet,South,8,37368,298944
2024-09-03,Headphones,East,1,7783,7783
2024-09-04,Laptop,West,4,46994,187976
2024-09-05,Headphones,North,1,42914,42914
2024-09-06,Tablet,North,8,5971,47768
2024-09-07,Laptop,West,1,14490,14490
2024-09-08,Headphones,East,3,46719,140157
2024-09-09,Headphones,South,4,46080,184320
2024-09-10,Tablet,South,8,2990,23920
2024-09-11,Laptop,North,6,6299,37794
2024-09-12,Tablet,East,7,46765,327355
2024-09-13,Laptop,South,8,20956,167648
2024-09-14,Camera,East,2,23359,46718
2024-09-15,Mobile,East,8,47240,377920
2024-09-16,Mobile,North,3,38148,114444
2024-09-17,Mobile,South,7,29734,208138
2024-09-18,Tablet,West,3,5757,17271
2024-09-19,Camera,North,7,20097,140679
2024-09-20,Laptop,South,2,11395,22790
2024-09-21,Headphones,South,6,17241,103446
2024-09-22,Laptop,South,3,39356,118068
2024-09-23,Headphones,South,3,28696,86088
2024-09-24,Laptop,South,9,5944,53496
